L = 0.03
6.7371 0.0002 0.0000
6.7456 0.0083 0.0000
6.8230 0.0000 0.0159
6.8773 0.0034 0.0000
6.9058 0.0027 0.0000
6.9622 0.0068 0.0000
6.9655 0.0087 0.0000
6.9836 0.0115 0.0000
6.9889 0.0071 0.0000
7.0406 0.0069 0.0000
7.0645 0.0038 0.0000
7.0986 0.0046 0.0000
7.2018 0.0145 0.0000
7.2490 0.0022 0.0000
7.2768 0.0066 0.0000
7.2830 0.0082 0.0000
7.3317 0.0179 0.0000
7.3403 0.0103 0.0000
7.3690 0.0126 0.0000
7.3888 0.0173 0.0000
7.4182 0.0036 0.0000
7.4250 0.0104 0.0000
7.4802 0.0088 0.0000
7.4919 0.0104 0.0000
7.4992 0.0064 0.0000
7.5069 0.0000 0.0154
7.5648 0.0032 0.0000
7.5831 0.0035 0.0000
7.6136 0.0071 0.0000
7.6144 0.0000 0.0064
7.6455 0.0022 0.0000
7.6623 0.0000 0.0111
7.6959 0.0037 0.0000
7.7097 0.0063 0.0000
7.8493 0.0000 0.0177
7.8664 0.0136 0.0000
7.8916 0.0000 0.0020
7.8950 0.0026 0.0000
7.9014 0.0072 0.0000
7.9788 0.0053 0.0000
8.0673 0.0053 0.0000
8.1119 0.0000 0.0183
8.1310 0.0039 0.0000
8.1971 0.0016 0.0000
8.2106 0.0129 0.0000
8.2138 0.0106 0.0000
8.2460 0.0027 0.0000
8.2914 0.0091 0.0000
8.2981 0.0057 0.0000
8.3406 0.0176 0.0000
8.3854 0.0000 0.0068
8.3879 0.0085 0.0000
8.4157 0.0119 0.0000
8.4216 0.0035 0.0000
8.4862 0.0028 0.0000
8.5094 0.0050 0.0000
8.5191 0.0124 0.0000
8.5220 0.0105 0.0000
8.5410 0.0116 0.0000
8.5857 0.0119 0.0000
8.6062 0.0098 0.0000
8.6630 0.0109 0.0000
8.6723 0.0000 0.0084
8.6727 0.0076 0.0000
8.6803 0.0046 0.0000
8.6853 0.0086 0.0000
8.7124 0.0143 0.0000
8.8035 0.0049 0.0000
8.8083 0.0000 0.0109
8.8504 0.0000 0.0050
8.8736 0.0153 0.0000
8.9515 0.0102 0.0000
8.9678 0.0000 0.0040
8.9724 0.0163 0.0000
9.0323 0.0000 0.0062
9.0399 0.0101 0.0000
9.0481 0.0046 0.0000
9.0507 0.0062 0.0000
9.0728 0.0104 0.0000
9.1060 0.0046 0.0000
9.1068 0.0102 0.0000
9.1168 0.0143 0.0000
9.1205 0.0000 0.0132
9.1767 0.0096 0.0000
9.1844 0.0016 0.0000
9.1895 0.0000 0.0005
9.2161 0.0048 0.0000
9.2268 0.0000 0.0076
9.2586 0.0005 0.0000
9.2907 0.0106 0.0000
9.2992 0.0056 0.0000
9.3193 0.0000 0.0063
9.3431 0.0120 0.0000
9.3550 0.0056 0.0000
9.3596 0.0112 0.0000
9.3622 0.0000 0.0117
9.3722 0.0060 0.0000
9.3752 0.0019 0.0000
9.3841 0.0154 0.0000
9.3902 0.0099 0.0000
9.4181 0.0095 0.0000
9.4686 0.0135 0.0000
9.4706 0.0098 0.0000
9.4805 0.0023 0.0000
9.4840 0.0000 0.0157
9.5006 0.0025 0.0128
9.5581 0.0097 0.0000
9.6488 0.0053 0.0000
9.6598 0.0089 0.0000
9.7032 0.0038 0.0000
9.7069 0.0029 0.0000
9.7207 0.0059 0.0000
9.7309 0.0000 0.0100
9.7374 0.0155 0.0000
9.7531 0.0000 0.0028
9.7796 0.0072 0.0000
9.7960 0.0000 0.0078
9.8092 0.0092 0.0000
9.8532 0.0000 0.0132
9.9417 0.0094 0.0000
9.9702 0.0067 0.0000
9.9704 0.0128 0.0000
9.9774 0.0066 0.0000
9.9922 0.0088 0.0000
10.0508 0.0102 0.0000
10.0619 0.0064 0.0000
10.0898 0.0045 0.0000
10.1179 0.0000 0.0117
10.1197 0.0000 0.0061
10.1321 0.0111 0.0000
10.1465 0.0049 0.0000
10.1751 0.0118 0.0000
10.1913 0.0081 0.0000
10.2094 0.0000 0.0067
10.2162 0.0093 0.0000
10.2174 0.0084 0.0000
10.2524 0.0054 0.0000
10.2672 0.0044 0.0000
10.3073 0.0071 0.0000
10.3094 0.0000 0.0105
10.4021 0.0000 0.0067
10.4268 0.0044 0.0000
10.4332 0.0090 0.0000
10.4341 0.0085 0.0000
10.4349 0.0062 0.0000
10.4425 0.0272 0.0066
10.4490 0.0000 0.0023
10.4514 0.0175 0.0000
10.4532 0.0076 0.0000
10.4829 0.0089 0.0000
10.5245 0.0000 0.0049
10.5514 0.0045 0.0000
10.5644 0.0000 0.0044
10.5885 0.0022 0.0000
10.6428 0.0067 0.0000
10.6466 0.0032 0.0000
10.6504 0.0093 0.0000
10.6582 0.0073 0.0000
10.6689 0.0000 0.0028
10.7114 0.0000 0.0108
10.7133 0.0073 0.0000
10.7188 0.0113 0.0000
10.7329 0.0068 0.0000
10.7708 0.0086 0.0000
10.7781 0.0071 0.0000
10.7797 0.0000 0.0062
10.8829 0.0140 0.0000
10.8997 0.0164 0.0000
10.9058 0.0047 0.0000
10.9065 0.0083 0.0000
10.9353 0.0052 0.0000
10.9709 0.0110 0.0000
10.9837 0.0000 0.0203
11.0399 0.0000 0.0196
11.0470 0.0059 0.0000
11.0909 0.0000 0.0089
11.1008 0.0151 0.0000
11.1497 0.0044 0.0000
11.1840 0.0149 0.0000
11.2023 0.0125 0.0000
11.2041 0.0079 0.0000
11.2063 0.0061 0.0000
11.2097 0.0030 0.0000
11.2125 0.0000 0.0091
11.2250 0.0071 0.0000
11.2498 0.0046 0.0000
11.2650 0.0000 0.0059
11.2729 0.0052 0.0000
11.2854 0.0000 0.0015
11.2901 0.0096 0.0000
11.2948 0.0030 0.0000
11.3460 0.0000 0.0198
11.3622 0.0000 0.0175
11.4058 0.0070 0.0000
11.4097 0.0115 0.0000
11.4355 0.0137 0.0000
11.4505 0.0000 0.0049
11.4829 0.0078 0.0000
11.4968 0.0000 0.0028
11.5025 0.0089 0.0000
11.6384 0.0040 0.0000
11.6427 0.0021 0.0000
11.7188 0.0141 0.0000
11.7194 0.0078 0.0000
11.7387 0.0000 0.0109
11.7532 0.0036 0.0000
11.7596 0.0046 0.0000
11.8241 0.0115 0.0000
11.8646 0.0049 0.0000
11.8964 0.0027 0.0000
11.9046 0.0100 0.0000
11.9507 0.0000 0.0105
11.9625 0.0057 0.0000
11.9685 0.0133 0.0000
11.9890 0.0087 0.0000
12.0213 0.0000 0.0186
12.1165 0.0059 0.0000
12.1549 0.0000 0.0077
12.1665 0.0000 0.0176
12.1705 0.0000 0.0085
12.1852 0.0109 0.0000
12.1982 0.0071 0.0000
12.2355 0.0096 0.0000
12.2480 0.0089 0.0000
12.2671 0.0007 0.0000
12.2977 0.0000 0.0087
12.3238 0.0031 0.0000
12.3314 0.0146 0.0000
12.3536 0.0000 0.0155
12.3703 0.0139 0.0000
12.3837 0.0000 0.0054
12.3951 0.0174 0.0000
12.4052 0.0000 0.0278
12.4117 0.0056 0.0000
12.4175 0.0000 0.0196
12.4196 0.0049 0.0000
12.4271 0.0019 0.0000
12.4391 0.0067 0.0000
12.4696 0.0000 0.0034
12.5038 0.0000 0.0197
12.5923 0.0000 0.0088
12.6263 0.0148 0.0000
12.6392 0.0043 0.0000
12.7002 0.0061 0.0000
12.7177 0.0000 0.0166
12.7351 0.0021 0.0000
12.7518 0.0076 0.0000
12.8311 0.0087 0.0000
12.8338 0.0119 0.0000
12.8778 0.0000 0.0091
12.8900 0.0000 0.0052
12.9247 0.0000 0.0072
13.0230 0.0065 0.0000
13.0321 0.0099 0.0000
13.0414 0.0057 0.0000
13.0453 0.0000 0.0099
13.0559 0.0048 0.0000
13.0861 0.0158 0.0000
13.0875 0.0073 0.0000
13.0898 0.0059 0.0000
13.0996 0.0043 0.0000
13.1084 0.0038 0.0000
13.1110 0.0100 0.0000
13.1219 0.0053 0.0000
13.2179 0.0051 0.0000
13.2571 0.0000 0.0188
13.3225 0.0126 0.0000
13.3535 0.0068 0.0000
13.4293 0.0000 0.0020
13.4603 0.0044 0.0000
13.4621 0.0000 0.0091
13.4699 0.0000 0.0186
