L = 0.03
25.2089 0.0087 0.0000
25.2203 0.0033 0.0000
25.2503 0.0000 0.0215
25.2689 0.0191 0.0000
25.3067 0.0045 0.0000
25.3516 0.0000 0.0208
25.3829 0.0015 0.0000
25.4381 0.0000 0.0148
25.4620 0.0071 0.0000
25.5088 0.0099 0.0000
25.5468 0.0015 0.0000
25.5532 0.0030 0.0000
25.6065 0.0000 0.0082
25.6373 0.0070 0.0000
25.6409 0.0081 0.0000
25.6415 0.0144 0.0000
25.6763 0.0058 0.0000
25.7128 0.0064 0.0000
25.7262 0.0142 0.0000
25.7429 0.0000 0.0136
25.7435 0.0000 0.0161
25.7725 0.0000 0.0043
25.8190 0.0000 0.0227
25.9302 0.0000 0.0090
25.9522 0.0083 0.0000
25.9657 0.0037 0.0000
25.9919 0.0000 0.0069
25.9960 0.0132 0.0000
26.0433 0.0019 0.0000
26.0514 0.0119 0.0000
26.0837 0.0130 0.0000
26.0864 0.0082 0.0000
26.1038 0.0000 0.0092
26.1097 0.0031 0.0000
26.1105 0.0035 0.0000
26.1138 0.0120 0.0073
26.1169 0.0021 0.0000
26.1435 0.0217 0.0000
26.1544 0.0020 0.0000
26.1551 0.0058 0.0000
26.1824 0.0131 0.0000
26.1997 0.0136 0.0000
26.2443 0.0000 0.0128
26.3161 0.0146 0.0000
26.3256 0.0131 0.0000
26.3406 0.0000 0.0120
26.3514 0.0027 0.0000
26.3545 0.0000 0.0181
26.3736 0.0075 0.0000
26.4482 0.0100 0.0000
26.4813 0.0000 0.0026
26.4834 0.0000 0.0090
26.4903 0.0095 0.0000
26.5108 0.0036 0.0000
26.5501 0.0133 0.0000
26.6312 0.0000 0.0043
26.6883 0.0128 0.0000
26.7428 0.0000 0.0247
26.7616 0.0000 0.0153
26.7701 0.0084 0.0000
26.7903 0.0127 0.0000
26.8367 0.0086 0.0000
26.9154 0.0000 0.0124
26.9525 0.0082 0.0000
26.9788 0.0100 0.0000
27.0236 0.0113 0.0000
27.0238 0.0094 0.0000
27.0511 0.0066 0.0000
27.0659 0.0000 0.0094
27.0714 0.0063 0.0000
27.0763 0.0000 0.0115
27.0784 0.0102 0.0000
27.0787 0.0108 0.0000
27.0952 0.0099 0.0000
27.0954 0.0000 0.0133
27.1794 0.0098 0.0000
27.2077 0.0125 0.0000
27.2275 0.0000 0.0121
27.2516 0.0021 0.0000
27.2716 0.0109 0.0000
27.2955 0.0000 0.0039
27.3165 0.0000 0.0134
27.3213 0.0038 0.0000
27.3407 0.0000 0.0052
27.4333 0.0000 0.0186
27.4335 0.0113 0.0000
27.4375 0.0021 0.0000
27.4416 0.0000 0.0059
27.4871 0.0033 0.0000
27.5079 0.0000 0.0070
27.5390 0.0088 0.0000
27.5963 0.0049 0.0000
27.6017 0.0000 0.0148
27.6876 0.0123 0.0000
27.7312 0.0054 0.0000
27.7448 0.0073 0.0000
27.7483 0.0064 0.0000
27.7528 0.0064 0.0000
27.7711 0.0000 0.0079
27.7902 0.0000 0.0064
27.8024 0.0049 0.0000
27.8238 0.0087 0.0000
27.8276 0.0000 0.0076
27.8774 0.0042 0.0000
27.8980 0.0048 0.0000
27.9057 0.0070 0.0000
28.0153 0.0036 0.0000
28.0418 0.0169 0.0000
28.1200 0.0070 0.0000
28.1260 0.0000 0.0127
28.1868 0.0004 0.0000
28.1868 0.0000 0.0075
28.1993 0.0064 0.0000
28.2546 0.0000 0.0070
28.2849 0.0000 0.0035
28.2979 0.0000 0.0123
28.2996 0.0097 0.0000
28.3036 0.0103 0.0000
28.3468 0.0152 0.0000
28.3546 0.0072 0.0000
28.3768 0.0120 0.0000
28.3796 0.0170 0.0000
28.4410 0.0066 0.0000
28.4641 0.0134 0.0000
28.5236 0.0000 0.0086
28.5527 0.0021 0.0000
28.5552 0.0060 0.0000
28.5656 0.0074 0.0000
28.5664 0.0095 0.0000
28.5838 0.0050 0.0000
28.6073 0.0000 0.0099
28.6151 0.0170 0.0000
28.6269 0.0061 0.0000
28.6575 0.0000 0.0201
28.6928 0.0059 0.0000
28.7292 0.0134 0.0000
28.7788 0.0089 0.0000
28.8816 0.0000 0.0148
28.8922 0.0065 0.0000
28.9044 0.0098 0.0000
28.9681 0.0080 0.0000
28.9905 0.0000 0.0108
29.0114 0.0070 0.0000
29.0375 0.0029 0.0000
29.0704 0.0082 0.0000
29.0865 0.0000 0.0139
29.0875 0.0023 0.0000
29.1094 0.0027 0.0000
29.1103 0.0000 0.0072
29.1123 0.0081 0.0000
29.1217 0.0033 0.0000
29.1457 0.0000 0.0056
29.1923 0.0034 0.0000
29.2505 0.0000 0.0165
29.3371 0.0102 0.0000
29.3388 0.0085 0.0000
29.3427 0.0097 0.0000
29.3552 0.0092 0.0000
29.3582 0.0065 0.0000
29.3679 0.0083 0.0000
29.4808 0.0000 0.0071
29.4923 0.0000 0.0092
29.5173 0.0215 0.0000
29.5210 0.0085 0.0000
29.5223 0.0109 0.0000
29.5226 0.0000 0.0012
29.5457 0.0174 0.0000
29.6155 0.0000 0.0021
29.6250 0.0000 0.0098
29.6690 0.0000 0.0233
29.7314 0.0148 0.0000
29.7349 0.0156 0.0000
29.7363 0.0102 0.0000
29.7468 0.0065 0.0000
29.7512 0.0111 0.0000
29.7657 0.0000 0.0103
29.8044 0.0000 0.0082
29.8052 0.0000 0.0079
29.8143 0.0115 0.0000
29.8529 0.0000 0.0063
29.8740 0.0143 0.0000
29.9198 0.0065 0.0000
29.9555 0.0060 0.0081
29.9953 0.0112 0.0000
29.9983 0.0062 0.0000
30.0236 0.0174 0.0000
30.0424 0.0000 0.0066
30.0945 0.0058 0.0000
30.1488 0.0000 0.0094
30.1590 0.0089 0.0000
30.1602 0.0000 0.0076
30.1928 0.0000 0.0049
30.2197 0.0105 0.0000
30.2932 0.0057 0.0000
30.3041 0.0200 0.0000
30.3125 0.0045 0.0000
30.3690 0.0041 0.0000
30.4055 0.0000 0.0020
30.4574 0.0000 0.0122
30.4760 0.0070 0.0000
30.4831 0.0062 0.0000
30.4967 0.0000 0.0058
30.4979 0.0000 0.0070
30.5806 0.0085 0.0000
30.5828 0.0080 0.0000
30.6070 0.0050 0.0000
30.6078 0.0000 0.0149
30.6207 0.0000 0.0186
30.6438 0.0061 0.0000
30.6938 0.0083 0.0000
30.7032 0.0150 0.0000
30.7083 0.0173 0.0000
30.7469 0.0112 0.0000
30.7738 0.0047 0.0000
30.7799 0.0072 0.0000
30.7996 0.0072 0.0000
30.8062 0.0076 0.0000
30.8116 0.0052 0.0000
30.8182 0.0000 0.0085
30.8386 0.0000 0.0230
30.9053 0.0135 0.0000
30.9966 0.0000 0.0065
30.9967 0.0149 0.0000
31.0069 0.0000 0.0026
31.0202 0.0023 0.0000
31.0407 0.0000 0.0120
31.0936 0.0077 0.0000
31.1292 0.0087 0.0000
31.1540 0.0000 0.0136
31.1574 0.0028 0.0000
31.1585 0.0119 0.0000
31.1792 0.0054 0.0000
31.1856 0.0119 0.0000
31.1982 0.0000 0.0029
31.2228 0.0000 0.0130
31.2397 0.0030 0.0000
31.2460 0.0042 0.0000
31.2587 0.0033 0.0000
31.2959 0.0000 0.0072
31.3659 0.0109 0.0000
31.4671 0.0117 0.0000
31.4983 0.0000 0.0062
31.5427 0.0069 0.0000
31.5433 0.0000 0.0078
31.6052 0.0086 0.0000
31.6226 0.0000 0.0119
31.6329 0.0031 0.0000
31.6452 0.0135 0.0000
31.6467 0.0077 0.0000
31.6579 0.0128 0.0000
31.6919 0.0008 0.0000
31.6965 0.0171 0.0000
31.7029 0.0033 0.0000
31.7462 0.0065 0.0000
31.8300 0.0085 0.0000
31.8847 0.0000 0.0006
31.8963 0.0124 0.0000
31.9000 0.0000 0.0080
31.9175 0.0000 0.0050
31.9269 0.0018 0.0000
31.9563 0.0000 0.0053
31.9619 0.0000 0.0075
32.0115 0.0000 0.0230
32.0207 0.0062 0.0000
32.0753 0.0088 0.0081
32.2254 0.0175 0.0000
32.2355 0.0086 0.0000
32.2762 0.0080 0.0000
32.3588 0.0108 0.0000
32.4059 0.0098 0.0000
32.4520 0.0092 0.0000
32.4545 0.0059 0.0000
32.4872 0.0054 0.0000
32.4943 0.0126 0.0000
32.5001 0.0145 0.0000
32.5167 0.0089 0.0000
32.5243 0.0000 0.0110
32.5317 0.0175 0.0000
32.5523 0.0000 0.0154
32.5546 0.0000 0.0100
32.5675 0.0122 0.0000
32.5798 0.0000 0.0073
32.6096 0.0087 0.0000
32.6572 0.0020 0.0000
32.6592 0.0114 0.0000
32.6596 0.0143 0.0000
32.7006 0.0038 0.0000
32.7028 0.0035 0.0000
32.7243 0.0000 0.0092
32.7557 0.0133 0.0000
32.8075 0.0000 0.0086
32.8086 0.0096 0.0000
32.8212 0.0114 0.0000
32.8264 0.0140 0.0000
32.8849 0.0024 0.0000
32.8867 0.0107 0.0000
32.9025 0.0069 0.0000
32.9102 0.0057 0.0000
32.9144 0.0000 0.0072
32.9230 0.0000 0.0057
32.9507 0.0070 0.0000
32.9512 0.0000 0.0122
33.0294 0.0061 0.0000
33.0561 0.0000 0.0243
33.1551 0.0000 0.0113
33.1597 0.0145 0.0000
33.1689 0.0044 0.0000
33.1805 0.0095 -0.0030
33.2022 0.0150 0.0000
33.2418 0.0135 0.0000
33.2537 0.0120 0.0000
33.2677 0.0065 0.0000
33.3200 0.0106 0.0000
33.3253 0.0077 0.0000
33.4426 0.0032 0.0000
33.4746 0.0000 0.0066
33.4963 0.0026 0.0000
33.5821 0.0207 -0.0015
33.6310 0.0041 0.0000
33.6637 0.0150 0.0000
33.6705 0.0085 0.0000
33.6742 0.0099 0.0000
33.6744 0.0047 0.0000
33.6921 0.0118 0.0000
33.7216 0.0080 0.0000
33.7446 0.0100 0.0000
33.7572 0.0041 0.0000
33.7579 0.0035 0.0000
33.8646 0.0000 0.0049
33.8980 0.0163 0.0000
33.9436 0.0222 0.0000
33.9520 0.0000 0.0031
33.9576 0.0000 0.0159
33.9971 0.0057 0.0000
34.0016 0.0008 0.0000
34.0319 0.0095 0.0000
34.0451 0.0144 0.0000
34.0709 0.0000 0.0105
34.1096 0.0091 0.0000
34.1421 0.0000 0.0150
34.1709 0.0000 0.0215
34.1995 0.0166 0.0000
34.2054 0.0151 0.0000
34.2638 0.0126 0.0000
34.2685 0.0051 0.0000
34.3248 0.0000 0.0066
34.3280 0.0064 0.0000
34.3708 0.0150 0.0000
34.4430 0.0000 0.0019
34.4588 0.0056 0.0000
34.5478 0.0049 0.0000
34.5534 0.0004 0.0000
34.5604 0.0123 0.0000
34.5710 0.0018 0.0000
34.5802 0.0000 0.0074
34.5818 0.0098 0.0000
34.5997 0.0119 0.0000
34.6007 0.0000 0.0068
34.6289 0.0000 0.0152
34.6354 0.0047 0.0000
34.6515 0.0000 0.0079
34.6866 0.0052 0.0000
34.7258 0.0068 0.0000
34.7536 0.0062 0.0000
34.8213 0.0033 0.0000
34.8522 0.0028 0.0000
34.9010 0.0093 0.0000
34.9171 0.0152 0.0000
34.9491 0.0000 0.0104
34.9732 0.0015 0.0000
34.9819 0.0128 0.0000
35.0071 0.0000 0.0064
35.0143 0.0117 0.0000
35.0169 0.0138 0.0000
35.0211 0.0133 0.0000
35.0508 0.0105 0.0000
35.1009 0.0092 0.0000
35.1092 0.0000 0.0130
35.1414 0.0000 0.0109
35.2161 0.0025 0.0000
35.2405 0.0156 0.0000
35.2760 0.0066 0.0000
35.2794 0.0000 0.0021
35.2816 0.0125 0.0000
35.3076 0.0059 0.0000
35.3784 0.0036 0.0000
35.3919 0.0125 0.0000
35.4304 0.0000 0.0111
35.4330 0.0000 0.0098
35.4425 0.0000 0.0199
35.4943 0.0037 0.0000
35.6004 0.0000 0.0080
35.6013 0.0124 0.0088
35.6032 0.0000 0.0061
35.6684 0.0019 0.0000
35.6750 0.0072 0.0000
35.6981 0.0060 0.0000
35.7344 0.0000 0.0111
35.7465 0.0150 0.0000
35.7708 0.0079 0.0000
35.7764 0.0098 0.0000
35.8131 0.0178 0.0000
35.8531 0.0152 0.0000
35.8711 0.0044 0.0000
35.9501 0.0054 0.0000
35.9669 0.0000 0.0126
35.9996 0.0145 0.0000
36.0577 0.0032 0.0000
36.0886 0.0074 0.0000
36.1161 0.0102 0.0000
36.1476 0.0040 0.0000
36.1788 0.0000 0.0051
36.1895 0.0135 0.0000
36.2223 0.0044 0.0000
36.2342 0.0000 0.0077
36.2858 0.0082 0.0000
36.3388 0.0000 0.0001
36.3389 0.0091 0.0000
36.3793 0.0052 0.0000
36.4097 0.0091 0.0000
36.4318 0.0062 0.0000
36.4335 0.0000 0.0025
36.4402 0.0089 0.0000
36.4529 0.0109 0.0000
36.4672 0.0035 0.0000
36.4941 0.0024 0.0000
36.4983 0.0025 0.0000
36.5431 0.0000 0.0133
36.5482 0.0107 0.0000
36.5819 0.0037 0.0000
36.6322 0.0000 0.0069
36.6388 0.0100 0.0000
36.6426 0.0195 0.0000
36.6448 0.0111 0.0000
36.6489 0.0171 0.0000
36.6562 0.0000 0.0030
36.6685 0.0151 0.0000
36.6801 0.0000 0.0018
36.7016 0.0145 0.0000
36.7501 0.0076 0.0000
36.7697 0.0000 0.0068
36.7820 0.0000 0.0104
36.8119 0.0000 0.0080
36.8167 0.0000 0.0118
36.8216 0.0129 0.0000
36.8326 0.0068 0.0000
36.8599 0.0121 0.0000
36.8624 0.0022 0.0000
36.8904 0.0000 0.0154
36.9065 0.0051 0.0000
36.9224 0.0000 0.0166
36.9379 0.0000 0.0028
36.9388 0.0094 0.0000
36.9754 0.0090 0.0000
36.9946 0.0000 0.0068
37.0467 0.0000 0.0135
37.0526 0.0103 0.0000
37.1092 0.0058 0.0000
37.1529 0.0126 0.0000
37.1587 0.0191 0.0000
37.1880 0.0107 0.0000
37.2572 0.0049 0.0000
37.3589 0.0051 0.0000
37.3690 0.0037 0.0000
37.3763 0.0000 0.0133
37.4104 0.0039 0.0000
37.4858 0.0000 0.0050
37.5127 0.0000 0.0078
37.5346 0.0045 0.0000
37.5828 0.0000 0.0069
37.6359 0.0045 0.0000
37.6369 0.0020 0.0000
37.7563 0.0089 0.0000
37.7694 0.0174 0.0000
37.7726 0.0050 0.0000
37.7745 0.0071 0.0000
37.8094 0.0000 0.0037
37.8349 0.0054 0.0000
37.8418 0.0076 0.0000
37.8903 0.0000 0.0016
37.9002 0.0049 0.0000
37.9222 0.0044 0.0000
37.9830 0.0117 0.0000
38.0247 0.0093 0.0000
38.0532 0.0055 0.0000
38.0973 0.0138 0.0000
38.1187 0.0106 0.0000
38.1285 0.0000 0.0016
38.1313 0.0000 0.0111
38.1412 0.0075 0.0000
38.1711 0.0068 0.0000
38.1715 0.0000 0.0031
38.1774 0.0003 0.0000
38.1953 0.0140 0.0000
38.2002 0.0000 0.0153
38.2041 0.0033 0.0000
38.2225 0.0000 0.0083
38.2251 0.0114 0.0000
38.2379 0.0045 0.0000
38.2661 0.0077 0.0000
38.3805 0.0000 0.0087
38.3945 0.0000 0.0071
38.4001 0.0151 0.0000
38.4281 0.0105 0.0000
38.4582 0.0042 0.0000
38.4604 0.0059 0.0000
38.4892 0.0000 0.0081
38.5442 0.0000 0.0166
38.5558 0.0060 0.0000
38.6037 0.0000 0.0135
38.7301 0.0035 0.0000
38.7426 0.0045 0.0000
38.7834 0.0099 0.0000
38.7862 0.0051 0.0000
38.7904 0.0051 0.0000
38.7956 0.0106 0.0000
38.8023 0.0009 0.0000
38.8305 0.0119 0.0000
38.8588 0.0033 0.0000
38.9013 0.0119 0.0000
38.9017 0.0011 0.0000
38.9198 0.0000 0.0087
38.9289 0.0157 0.0000
38.9513 0.0077 0.0000
38.9903 0.0127 0.0000
39.0123 0.0033 0.0000
39.0439 0.0069 0.0000
39.0599 0.0095 0.0000
39.0681 0.0000 0.0041
39.1028 0.0177 0.0000
39.1222 0.0087 0.0000
39.1342 0.0050 0.0000
39.2309 0.0025 0.0000
39.2349 0.0047 0.0000
39.2472 0.0126 0.0000
39.2804 0.0065 0.0000
39.2879 0.0064 0.0000
39.3045 0.0057 0.0000
39.3150 0.0071 0.0000
39.3516 0.0102 0.0000
39.3524 0.0000 0.0085
39.3696 0.0117 0.0000
39.4041 0.0047 0.0000
39.4238 0.0077 0.0000
39.4399 0.0000 0.0097
39.4542 0.0000 0.0089
39.4831 0.0014 0.0000
39.4897 0.0000 0.0087
39.5032 0.0032 0.0000
39.6005 0.0000 0.0063
39.6080 0.0000 0.0113
39.6103 0.0103 0.0000
39.6300 0.0166 0.0000
39.6368 0.0042 0.0000
39.6516 0.0022 0.0000
39.6930 0.0037 0.0000
39.7159 0.0062 0.0000
39.7362 0.0041 0.0000
39.7489 0.0069 0.0000
39.7508 0.0073 0.0000
39.7711 0.0181 0.0000
39.8250 0.0076 0.0000
39.8325 0.0028 0.0000
39.9072 0.0000 0.0102
39.9277 0.0000 0.0178
39.9689 0.0063 0.0000

L = 0.03
0.0300 0.0063 0.0000
0.0741 0.0060 0.0000
0.1166 0.0026 0.0000
0.1269 0.0090 0.0000
0.1778 0.0104 0.0000
0.1873 0.0040 0.0000
0.2350 0.0170 0.0000
0.2377 0.0145 0.0000
0.2503 0.0000 0.0149
0.3280 0.0000 0.0141
0.3500 0.0074 0.0000
0.3506 0.0103 0.0000
0.3931 0.0094 0.0000
0.3961 0.0222 0.0000
0.4199 0.0000 0.0084
0.4618 0.0000 0.0024
0.4907 0.0030 0.0000
0.4912 0.0056 0.0000
0.4929 0.0098 0.0000
0.4985 0.0040 0.0000
0.5613 0.0000 0.0119
0.5709 0.0135 0.0000
0.6523 0.0088 0.0000
0.6876 0.0000 0.0012
0.6880 0.0078 0.0000
0.7077 0.0074 0.0000
0.7341 0.0071 0.0000
0.7596 0.0103 0.0000
0.7989 0.0053 0.0000
0.8018 0.0078 0.0000
0.8032 0.0120 0.0000
0.8150 0.0137 0.0000
0.8590 0.0100 0.0000
0.8670 0.0111 0.0000
0.8795 0.0131 0.0000
0.8849 0.0058 0.0000
0.9123 0.0129 0.0000
0.9211 0.0046 0.0000
0.9696 0.0099 0.0000
0.9756 0.0048 0.0000
0.9851 0.0071 0.0000
1.0125 0.0032 0.0000
1.0139 0.0049 0.0000
1.0577 0.0086 0.0000
1.0960 0.0129 0.0000
1.1054 0.0000 0.0037
1.1100 0.0174 0.0000
1.1726 0.0046 0.0000
1.1739 0.0065 0.0000
1.1843 0.0123 0.0000
1.1968 0.0090 0.0000
1.2027 0.0049 0.0000
1.2164 0.0031 0.0000
1.3459 0.0022 0.0000
1.3740 0.0102 0.0000
1.3760 0.0164 0.0000
1.4003 0.0123 0.0000
1.4478 0.0076 0.0000
1.4880 0.0037 0.0000
1.5338 0.0051 0.0000
1.5369 0.0029 0.0000
1.5723 0.0045 0.0000
1.6196 0.0152 0.0000
1.6286 0.0033 0.0000
1.6549 0.0024 0.0000
1.6618 0.0025 0.0000
1.6722 0.0062 0.0000
1.6845 0.0150 0.0000
1.7125 0.0052 0.0000
1.7615 0.0118 0.0000
1.8376 0.0152 0.0000
1.8707 0.0057 0.0000
1.8872 0.0214 0.0000
1.9061 0.0034 0.0000
1.9151 0.0108 0.0000
1.9493 0.0055 0.0000
1.9929 0.0036 0.0000
2.0109 0.0120 0.0000
2.0146 0.0056 0.0000
2.0424 0.0035 0.0000
2.0473 0.0066 0.0000
2.0682 0.0049 0.0000
2.0941 0.0028 0.0000
2.1035 0.0145 0.0000
2.1168 0.0060 0.0000
2.1716 0.0204 0.0000
2.2031 0.0070 0.0000
2.2048 0.0035 0.0052
2.2221 0.0205 0.0000
2.2296 0.0088 0.0000
2.2472 0.0085 0.0000
2.2538 0.0045 0.0000
2.2602 0.0071 0.0000
2.2711 0.0000 0.0024
2.2936 0.0108 0.0000
2.3168 0.0130 0.0000
2.3511 0.0074 0.0000
2.3669 0.0130 0.0000
2.3834 0.0053 0.0000
2.3904 0.0058 0.0000
2.4219 0.0096 0.0000
2.4433 0.0030 0.0000
2.4767 0.0162 0.0000
2.4841 0.0173 0.0000
2.4941 0.0136 0.0000
2.4994 0.0148 0.0000
2.5367 0.0077 0.0000
2.5554 0.0110 0.0000
2.6694 0.0055 0.0000
2.6822 0.0061 0.0000
2.7065 0.0095 0.0000
2.7071 0.0030 0.0000
2.7668 0.0060 0.0000
2.7907 0.0008 0.0000
2.8258 0.0109 0.0000
2.8565 0.0133 0.0000
2.8939 0.0070 0.0000
2.9003 0.0127 0.0000
2.9012 0.0117 0.0000
2.9099 0.0158 0.0000
2.9130 0.0060 0.0000
2.9306 0.0088 0.0000
2.9326 0.0139 0.0000
2.9374 0.0091 0.0000
2.9631 0.0033 0.0000
2.9745 0.0088 0.0000
2.9965 0.0170 0.0000
3.0121 0.0039 0.0000
3.0363 0.0142 0.0000
3.0406 0.0142 0.0000
3.0604 0.0106 0.0000
3.0690 0.0032 0.0000
3.1428 0.0085 0.0000
3.1650 0.0042 0.0000
3.2315 0.0037 0.0000
3.2464 0.0072 0.0000
3.2555 0.0069 0.0000
3.2745 0.0040 0.0000
3.3115 0.0092 0.0000
3.3535 0.0115 0.0000
3.3710 0.0091 0.0000
3.3802 0.0066 0.0000
3.3948 0.0217 0.0000
3.4146 0.0055 0.0000
3.4472 0.0038 0.0000
3.4676 0.0136 0.0000
3.4758 0.0091 0.0000
3.4912 0.0025 0.0000
3.5022 0.0139 0.0000
3.5871 0.0029 0.0000
3.6098 0.0107 0.0000
3.6664 0.0138 0.0000
3.7210 0.0102 0.0000
3.7228 0.0086 0.0000
3.7282 0.0064 0.0000
3.7385 0.0188 0.0000
3.7627 0.0039 0.0000
3.8274 0.0091 0.0000
3.8440 0.0119 0.0000
3.8514 0.0051 0.0000
3.8635 0.0135 0.0000
3.8866 0.0049 0.0033
3.8969 0.0114 0.0000
3.9110 0.0096 0.0000
3.9240 0.0044 0.0000
3.9476 0.0041 0.0000
3.9501 0.0152 0.0000
3.9562 0.0044 0.0000
3.9616 0.0059 0.0000
4.0406 0.0057 0.0000
4.1561 0.0090 0.0000
4.1819 0.0026 0.0000
4.2309 0.0073 0.0000
4.2908 0.0103 0.0000
4.3092 0.0015 0.0000
4.3303 0.0090 0.0000
4.3433 0.0108 0.0000
4.3664 0.0069 0.0000
4.3746 0.0079 0.0000
4.3829 0.0108 0.0000
4.3860 0.0166 0.0020
4.4100 0.0108 0.0000
4.4185 0.0174 0.0000
4.4423 0.0115 0.0000
4.4560 0.0156 0.0000
4.4976 0.0096 0.0000
4.5401 0.0050 0.0000
4.5402 0.0075 0.0000
4.5853 0.0063 0.0000
4.6466 0.0099 0.0000
4.6484 0.0032 0.0000
4.6799 0.0090 0.0000
4.7117 0.0017 0.0000
4.7146 0.0177 0.0000
4.7477 0.0107 0.0000
4.7683 0.0058 0.0000
4.7961 0.0090 0.0000
4.8741 0.0163 0.0000
4.8833 0.0180 0.0000
4.8885 0.0129 0.0000
4.9129 0.0072 0.0000
4.9535 0.0150 0.0000
4.9613 0.0027 0.0000
5.0139 0.0094 0.0000
5.0204 0.0144 0.0000
5.0249 0.0143 0.0000
5.0597 0.0101 0.0000
5.1164 0.0074 0.0000
5.2046 0.0086 0.0000
5.2460 0.0038 0.0000
5.2587 0.0085 0.0000
5.2632 0.0028 0.0000
5.3086 0.0061 0.0000
5.4182 0.0096 0.0000
5.4449 0.0097 0.0000
5.4547 0.0046 0.0000
5.4774 0.0063 0.0000
5.4932 0.0032 0.0000
5.5812 0.0040 0.0000
5.5966 0.0109 0.0000
5.6326 0.0173 0.0000
5.6457 0.0067 0.0000
5.7056 0.0043 0.0000
5.7245 0.0136 0.0000
5.7602 0.0075 0.0000
5.8103 0.0196 0.0000
5.8544 0.0042 0.0000
5.8639 0.0016 0.0000
5.8847 0.0064 0.0000
5.8892 0.0208 0.0000
5.8951 0.0124 0.0000
5.9579 0.0068 0.0000
5.9582 0.0032 0.0000
5.9779 0.0162 0.0000
6.0367 0.0084 0.0000
6.0572 0.0146 0.0000
6.0614 0.0023 0.0000
6.0759 0.0021 0.0000
6.0802 0.0028 0.0000
6.0823 0.0145 0.0000
6.1119 0.0162 0.0000
6.1642 0.0162 0.0000
6.1820 0.0037 0.0000
6.1992 0.0123 0.0000
6.3304 0.0103 0.0000
6.3631 0.0081 0.0000
6.3632 0.0127 0.0000
6.3666 0.0148 0.0000
6.3677 0.0148 0.0000
6.3848 0.0087 0.0000
6.4071 0.0023 0.0000
6.4160 0.0113 0.0000
6.4190 0.0093 0.0000
6.4463 0.0058 0.0125
6.4997 0.0067 0.0000
6.5090 0.0113 0.0000
6.5201 0.0037 0.0000
6.5285 0.0067 0.0000
6.5340 0.0081 0.0000
6.5512 0.0174 0.0000
6.5842 0.0096 0.0000
6.5907 0.0127 0.0000
6.6118 0.0121 0.0000
6.6179 0.0081 0.0000
6.6667 0.0063 0.0000
6.6891 0.0118 0.0000
6.6997 0.0088 0.0000
6.7157 0.0051 0.0000
6.7347 0.0058 0.0000
6.7581 0.0077 0.0000
6.7584 0.0067 0.0000
6.8137 0.0138 0.0000
6.8347 0.0054 0.0000
6.8761 0.0095 0.0000
6.8977 0.0090 0.0000
6.9119 0.0108 0.0000
6.9284 0.0086 0.0000
6.9388 0.0178 0.0000
7.0046 0.0104 0.0000
7.0751 0.0097 0.0000
7.0777 0.0124 0.0000
7.1025 0.0029 0.0000
7.1175 0.0033 0.0000
7.1506 0.0034 0.0000
7.1678 0.0045 0.0000
7.1733 0.0042 0.0000
7.1796 0.0175 0.0000
7.1862 0.0132 0.0000
7.1898 0.0024 0.0000
7.2124 0.0076 0.0000
7.2186 0.0048 0.0000
7.3263 0.0161 0.0000
7.3335 0.0044 0.0000
7.3561 0.0063 0.0000
7.3621 0.0015 0.0000
7.3871 0.0044 0.0000
7.4037 0.0092 0.0000
7.4402 0.0100 0.0000
7.4760 0.0055 0.0000
7.4955 0.0169 0.0000
7.4997 0.0112 0.0000
7.5089 0.0048 0.0000
7.5301 0.0075 0.0000
7.5582 0.0067 0.0000
7.5655 0.0021 0.0000
7.5789 0.0234 0.0000
7.5803 0.0029 0.0000
7.5889 0.0091 0.0000
7.7462 0.0049 0.0000
7.7773 0.0067 0.0000
7.7849 0.0116 0.0000
7.8695 0.0100 0.0000
7.9040 0.0051 0.0000
7.9101 0.0111 0.0000
7.9223 0.0057 0.0000
7.9510 0.0079 0.0000
7.9520 0.0157 0.0000
7.9765 0.0096 0.0000
8.0337 0.0030 0.0000
8.0380 0.0150 0.0000
8.0521 0.0094 0.0000
8.0958 0.0052 0.0000
8.1146 0.0042 0.0000
8.1375 0.0072 0.0000
8.1421 0.0188 0.0000
8.1480 0.0093 0.0000
8.1489 0.0087 0.0000
8.1724 0.0123 0.0000
8.1907 0.0047 0.0000
8.2043 0.0158 0.0000
8.2119 0.0070 0.0000
8.2529 0.0137 0.0000
8.2618 0.0080 0.0000
8.3016 0.0031 0.0000
8.3585 0.0161 0.0000
8.3694 0.0064 0.0000
8.3825 0.0062 0.0000
8.5064 0.0068 0.0000
8.5311 0.0248 0.0000
8.5450 0.0249 0.0000
8.5488 0.0131 0.0000
8.6243 0.0063 0.0000
8.6283 0.0066 0.0000
8.6337 0.0094 0.0000
8.6566 0.0060 0.0000
8.6569 0.0064 0.0000
8.6681 0.0183 0.0000
8.6837 0.0073 0.0000
8.7107 0.0047 0.0000
8.7466 0.0105 0.0000
8.7699 0.0092 0.0000
8.7863 0.0217 0.0000
8.7895 0.0090 0.0000
8.7913 0.0065 0.0000
8.8009 0.0057 0.0000
8.8031 0.0129 0.0000
8.8733 0.0077 0.0000
8.9063 0.0120 0.0000
8.9290 0.0030 0.0000
9.0228 0.0081 0.0000
9.0461 0.0055 0.0000
9.1426 0.0088 0.0000
9.1592 0.0096 0.0000
9.1687 0.0063 0.0000
9.1726 0.0101 0.0000
9.1728 0.0082 0.0000
