frame	y	x	id
1	-5.49849	-10.1459	0
1	-6.34297	-4.34558	1
1	1.55515	5.90316	2
1	0.073472	2.04703	3
1	-3.05888	3.06014	4
1	-0.908008	-2.48241	5
1	-5.89266	2.22576	6
1	-3.50174	-0.0593031	7
1	-6.13617	-3.39952	8
1	-6.44972	-9.71103	9
1	-1.76842	-1.0185	10
1	-0.227505	-8.60026	11
1	-0.334145	-12.7105	12
1	-0.512093	-9.89041	13
1	0.306144	-12.0114	14
1	1.25353	-4.71562	15
1	6.26403	-3.0047	16
1	3.37033	0.0677389	17
1	2.75878	1.87961	18
1	3.83514	2.21777	19
1	6.70024	5.4491	20
1	6.15593	5.55088	21
1	1.55602	8.385	22
1	-0.945949	8.01457	23
1	0.0438091	10.9182	24
2	-5.52636	-10.1751	0
2	-6.25291	-4.54323	1
2	1.38214	5.98482	2
2	0.106502	1.84809	3
2	-2.83014	3.03679	4
2	-0.70455	-2.64897	5
2	-5.71772	2.05856	6
2	-3.38898	0.000303002	7
2	-6.19448	-3.34378	8
2	-6.33244	-9.851	9
2	-1.51375	-0.927155	10
2	-0.230087	-8.48621	11
2	-0.390523	-12.7403	12
2	-0.398044	-9.88782	13
2	0.50702	-12.0639	14
2	1.13625	-4.57564	15
2	6.29319	-3.03256	16
2	3.45393	0.155212	17
2	2.84883	1.68196	18
2	3.88958	2.33311	19
2	6.73327	5.25016	20
2	6.18057	5.7226	21
2	1.4977	8.44074	22
2	-0.806616	8.16036	23
2	0.0684485	11.0899	24
3	-5.6417	-10.1206	0
3	-6.19266	-4.6845	1
3	1.17997	6.09435	2
3	0.110375	1.67702	3
3	-2.66035	3.09769	4
3	-0.559407	-2.75979	5
3	-5.57258	1.94774	6
3	-3.33454	0.115642	7
3	-6.28196	-3.26018	8
3	-6.24432	-9.96312	9
3	-1.31675	-0.808588	10
3	-0.233959	-8.31514	11
3	-0.505863	-12.6859	12
3	-0.313799	-9.82886	13
3	0.677447	-12.0315	14
3	0.989817	-4.4078	15
3	6.29254	-3.00405	16
3	3.53624	0.299709	17
3	2.91037	1.48366	18
3	3.91357	2.53334	19
3	6.76501	5.10824	20
3	6.14625	5.97856	21
