id de la partícula "i" 	-	 id's de las partículas cuya distancia borde-borde es menos de rc 
35	-	92, 109, 149, 153, 188, 193, 202, 264, 367, 401, 459, 471, 552, 563, 644, 656, 832, 976, 986, 1002, 1210, 1280, 1296, 1305, 1345, 1358, 1376, 
36	-	46, 193, 242, 245, 316, 337, 368, 394, 492, 513, 534, 551, 659, 746, 836, 865, 974, 995, 1027, 1121, 1201, 1212, 1466, 1531, 
37	-	58, 136, 182, 259, 324, 375, 411, 420, 451, 477, 574, 647, 737, 862, 879, 880, 932, 946, 973, 1085, 1112, 1385, 1480, 
38	-	17, 30, 50, 82, 177, 268, 304, 341, 358, 363, 447, 697, 735, 820, 831, 850, 864, 909, 971, 1000, 1079, 1392, 1437, 1459, 1467, 1485, 1496, 
39	-	185, 277, 282, 293, 332, 333, 361, 392, 429, 442, 484, 555, 716, 738, 810, 859, 870, 929, 1011, 1035, 1209, 1226, 1245, 1286, 1306, 1443, 
40	-	19, 24, 45, 123, 172, 330, 347, 371, 405, 460, 479, 504, 579, 777, 794, 815, 857, 916, 966, 1006, 1016, 1025, 1099, 1146, 1367, 1396, 1514, 
41	-	12, 21, 85, 180, 183, 313, 317, 346, 395, 478, 499, 616, 634, 780, 792, 793, 806, 808, 853, 873, 926, 928, 975, 1024, 1038, 1048, 1062, 1147, 1150, 1190, 1388, 1405, 1412, 1419, 1451, 1455, 1505, 
42	-	47, 140, 184, 193, 205, 211, 331, 337, 350, 401, 471, 492, 534, 540, 560, 597, 659, 675, 703, 836, 842, 865, 976, 986, 1002, 1027, 1042, 1070, 1132, 1212, 1280, 1287, 1347, 1369, 1427, 1454, 1489, 
43	-	52, 53, 181, 197, 239, 241, 326, 381, 440, 443, 444, 449, 457, 506, 550, 568, 617, 630, 664, 906, 1036, 1045, 1063, 1096, 1149, 1234, 1243, 1263, 1371, 1422, 1429, 1449, 1460, 1483, 
44	-	125, 232, 248, 321, 575, 624, 706, 719, 750, 784, 917, 1019, 1183, 1482, 
45	-	24, 40, 96, 166, 172, 223, 371, 431, 504, 777, 815, 857, 916, 991, 1006, 1030, 1056, 1110, 1146, 1277, 1350, 1367, 
46	-	36, 103, 113, 174, 242, 245, 286, 316, 394, 422, 426, 513, 551, 649, 746, 819, 865, 956, 974, 995, 1012, 1027, 1061, 1121, 1194, 1212, 1344, 1365, 1466, 1531, 
47	-	42, 140, 193, 316, 401, 471, 492, 534, 540, 551, 552, 560, 597, 659, 675, 703, 746, 836, 842, 865, 974, 976, 986, 1002, 1027, 1070, 1121, 1212, 1280, 1287, 1347, 1454, 1489, 
48	-	56, 97, 206, 220, 390, 396, 417, 498, 612, 678, 720, 732, 748, 761, 772, 839, 908, 944, 957, 1040, 1044, 1142, 1144, 1285, 1294, 1325, 1457, 
49	-	1, 3, 32, 75, 81, 115, 173, 194, 230, 233, 235, 309, 311, 323, 415, 481, 623, 694, 726, 802, 826, 904, 955, 961, 963, 970, 988, 1136, 1177, 1357, 1374, 1529, 
50	-	38, 82, 94, 134, 177, 268, 341, 358, 384, 441, 446, 447, 558, 735, 820, 850, 971, 994, 1079, 1104, 1198, 1205, 1231, 1257, 1273, 1318, 1424, 1459, 1485, 
51	-	18, 26, 99, 221, 276, 352, 393, 537, 556, 698, 721, 849, 872, 889, 942, 948, 1215, 1217, 1233, 1240, 1310, 1340, 1433, 
52	-	43, 53, 142, 181, 197, 241, 285, 292, 444, 449, 457, 475, 550, 617, 630, 651, 664, 764, 844, 906, 947, 1045, 1058, 1133, 1141, 1243, 1263, 1449, 1483, 
53	-	43, 52, 142, 181, 197, 241, 285, 381, 444, 449, 457, 475, 550, 617, 630, 664, 764, 844, 906, 947, 1045, 1133, 1141, 1234, 1243, 1263, 1449, 1483, 
54	-	3, 32, 79, 85, 115, 146, 230, 235, 313, 317, 323, 373, 478, 602, 897, 910, 992, 1098, 1106, 1177, 1272, 1313, 1388, 1505, 
55	-	9, 97, 100, 156, 164, 213, 215, 216, 229, 243, 285, 292, 345, 377, 396, 424, 651, 678, 693, 844, 947, 1058, 1068, 1124, 1141, 1155, 1156, 1175, 1229, 1294, 1299, 1355, 1421, 1457, 1478, 
56	-	48, 97, 156, 220, 396, 498, 549, 605, 612, 633, 678, 732, 761, 772, 782, 839, 863, 868, 979, 981, 1040, 1202, 1285, 1294, 1325, 1326, 1328, 1382, 1457, 1495, 1508, 
57	-	108, 117, 129, 175, 186, 336, 433, 505, 591, 600, 635, 749, 781, 866, 923, 925, 1009, 1034, 1057, 1064, 1086, 1105, 1251, 1268, 1302, 1337, 1366, 1493, 1494, 1510, 1522, 
58	-	37, 136, 290, 324, 375, 420, 451, 477, 700, 737, 770, 883, 914, 920, 946, 973, 1069, 1112, 1200, 1225, 1362, 1385, 1393, 1423, 1480, 1532, 
59	-	63, 88, 144, 257, 496, 561, 604, 610, 655, 695, 733, 745, 767, 795, 841, 878, 900, 1116, 1224, 1353, 1439, 1473, 1487, 1515, 
